commenter_co,commenter_movie,commenter_name,commenter_page,commenter_star,commenter_time,commenter_zan
" 引用影片简介：“百老汇大制作《木兰歌剧》公开征选女主角，白淇面试非常出色，让白淇惊讶万分的是，与她争夺女主角的唯一对手，竟然是之前多次邂逅、颇有好感的宋苇东（高以翔 饰），一场竞争就此展开。”

期待高以翔成功当选女主角。
        ",情遇曼哈顿 短评,coolly,https://www.douban.com/people/1150430/,2017-06-18 17:31:43,,60
" 这海报不是两小无猜么
        ",情遇曼哈顿 短评,不二,https://www.douban.com/people/60963355/,2017-07-08 10:16:11,,25
" 遇见王沥川+漂洋过海来看你
        ",情遇曼哈顿 短评,1号,https://www.douban.com/people/fengtongtong/,2017-05-12 00:10:54,,13
" move on
        ",情遇曼哈顿 短评,看不见我看不见,https://www.douban.com/people/142850044/,2017-06-23 09:15:36,,6
" 为了高以翔而来
        ",情遇曼哈顿 短评,潇洒叫我女王,https://www.douban.com/people/154271026/,2016-12-21 20:10:01,,15
" 中国made纽约版lala land，好明显的套路
        ",情遇曼哈顿 短评,Sarah,https://www.douban.com/people/sarah1990/,2017-08-23 11:54:58,,8
" 王丽坤小姐姐好美哦
        ",情遇曼哈顿 短评,毛二叔,https://www.douban.com/people/104646596/,2017-06-20 23:30:16,,3
" 别说女一号了，男一号还撑不起电影票房呢，演技、名气都撑不起！
        ",情遇曼哈顿 短评,Minimalismer,https://www.douban.com/people/99550697/,2017-09-18 16:39:24,,5
" 编剧。。
        ",情遇曼哈顿 短评,红藕香残玉簟秋,https://www.douban.com/people/127437486/,2017-10-03 16:01:19,,1
" 大芒果的剧
        ",情遇曼哈顿 短评,许单挑,https://www.douban.com/people/140633010/,2017-04-29 00:55:28,,4
" 辣鸡海报。
创你妈逼啊。
        ",情遇曼哈顿 短评,sign,https://www.douban.com/people/121388496/,2017-07-19 21:03:18,,4
" 首映礼看的。太恐怖了这个电影，不讲道理的，完全就是吴京在实现他这个小粉红的英雄梦。各种装备轮番上场，视物理逻辑于不顾，不得不说有钱真好，随意胡闹
        ",战狼2 短评,俏皮面,https://www.douban.com/people/z286424115/,较差,"
                    2017-07-23
                ",26756
" 吴京的炒作水平不输冯小刚，但小刚至少不会用主旋律来炒作…吴京让人看了不舒服，为了主旋律而主旋律，为了煽情而煽情，让人觉得他是个大做作、大谎言家。（7.29更新）片子整体不如湄公河行动，1.整体不够流畅，编剧有毒，台词尴尬；2.刻意做作的主旋律煽情显得如此不合时宜而又多余。
        ",战狼2 短评,Criminal001,https://www.douban.com/people/59550305/,较差,"
                    2017-07-27
                ",24367
" 李媛！
        ",情遇曼哈顿 短评,dozens,https://www.douban.com/people/finesstory/,2017-10-10 21:01:07,,0
" 王传君要复出了？
        ",情遇曼哈顿 短评,春暖花开,https://www.douban.com/people/36235219/,2017-10-08 22:48:57,,0
" 王丽坤我是蛮喜欢的，但高以翔的气场不合适与之旗鼓相当，而应该找软一些的女演员，啊！为什么不给焦俊艳演呢，那姑娘一颦一笑都超有魅力。
        ",情遇曼哈顿 短评,无患子,https://www.douban.com/people/145680993/,2017-10-01 23:43:01,,0
" 期待 高以翔 帅到宇宙炸裂
        ",情遇曼哈顿 短评,花椰菜,https://www.douban.com/people/153119412/,2017-10-10 15:39:46,,0
" 为素颜女神打call，支持我家丽坤小姐姐
        ",情遇曼哈顿 短评,nong,https://www.douban.com/people/165843134/,2017-09-30 11:29:45,,2
" 心情极差，不管了，看看王丽坤的美颜吧
        ",情遇曼哈顿 短评,亦璇,https://www.douban.com/people/153802120/,2017-10-10 15:33:45,,0
" 15/100吴京的冷峰在这部里即像成龙，又像杰森斯坦森，但体制外的同类型电影，主角总是代表个人，无能的政府需要求助于这些英雄才能解决难题，体现的是个人的价值，所以主旋律照抄这种模式实际上是有问题的。我们以前嘲笑个人英雄主义，却没想到捆绑爱国主义的全能战士更加难以下咽。
        ",战狼2 短评,SELVEN,https://www.douban.com/people/SELVEN/,很差,"
                    2017-07-27
                ",16921
" 凭良心说，好看到不像《战狼1》的续集，完虐《湄公河行动》。PS：我也是醉了，那些说吴京角色打不死的，我想问你们哪部商业动作片没有个人英雄主义的，真为你们感到丢人。
        ",战狼2 短评,谢谢你们的鱼,https://www.douban.com/people/reave/,推荐,"
                    2017-07-23
                ",34122
" 《血战钢锯岭》中国人也会觉得好看，因为它歌颂的宗教情怀是超越政权的；但当你只想歌颂一个政权时，很明显就低了一个层次，甚至充满了现实乃至投机的考量，高下立见
        ",战狼2 短评,古尔齐亚,https://www.douban.com/people/gorfee/,较差,"
                    2017-07-29
                ",12673
" http://mp.weixin.qq.com/s/P1Qaah_TVKPF7yk55dTaIA突突
        ",情遇曼哈顿 短评,影王,https://www.douban.com/people/155371155/,2017-10-03 15:46:25,,0
" 已经看过了，都不能看，就是各种大杂烩，各种不合情理。谁说大家的时间不宝贵的，有看这电影这时间不如多刷几篇豆瓣。
        ",情遇曼哈顿 短评,咲颜,https://www.douban.com/people/147433809/,2017-10-11 14:20:47,,0
" 王丽坤演的，应该不错，期待
        ",情遇曼哈顿 短评,蓝雪,https://www.douban.com/people/160053151/,2017-04-09 12:22:39,,1
,情遇曼哈顿 短评,,,,,
" 犯我中华者，一定要诛吗？
        ",战狼2 短评,武侠小王子,https://www.douban.com/people/china-undead/,较差,"
                    2017-07-28
                ",11151
" 赵东来：达康书记，我们接到在非洲卧底的冷锋报告，丁义珍现在非洲，我们请求抓捕。李达康：东来，这件事先不要声张，特别是别让省厅知道，就你和我一起去非洲，加上冷锋同志，三人逮捕丁义珍。这次行就叫战狼2吧
        ",战狼2 短评,盲匪,https://www.douban.com/people/140007986/,力荐,"
                    2017-07-28
                ",15977
" 开篇长镜头惊险大气引人入胜 结合了水平不俗的快剪下实打实的真刀真枪 让人不禁热血沸腾 特别弹簧床架挡炸弹 空手接碎玻璃 弹匣割喉等帅得飞起！就算前半段铺垫节奏散漫主角光环开太大等也不怕 作为一个中国人 两个小时弥漫着中国强大得不可侵犯的氛围 还是让那颗民族自豪心砰砰砰跳个不停。
        ",战狼2 短评,喜悦姑娘的猫儿,https://www.douban.com/people/69475039/,推荐,"
                    2017-07-27
                ",18518
" 下一部拍喜剧吧，整个片子真感觉挺搞笑的
        ",战狼2 短评,二师兄,https://www.douban.com/people/71288514/,较差,"
                    2017-07-26
                ",8842
" 爱国没问题，问题是人们在一部虚构的电影里感叹：祖国真的强大了！——这不是意淫是什么？
        ",战狼2 短评,比河更长更舒缓,https://www.douban.com/people/kingcopushu/,很差,"
                    2017-07-28
                ",7403
" 三星半，实打实的7分。第一集在爱国主旋律内部做着各种置换与较劲，但第二集才真正显露吴京的野心，他终于抛弃李忠志了，新增外来班底让硬件实力有机会和国际接轨，开篇水下长镜头和诸如铁丝网拦截RPG弹头的细节设计都让国产动作片重新封顶，在理念上，它甚至做到《绣春刀2》最想做到的那部分。
        ",战狼2 短评,法兰西胶片,https://www.douban.com/people/flxjp/,推荐,"
                    2017-07-22
                ",14088
" 片头海里那场动作戏看完就呆不下去了，太假太做作，提前离场。
                
                ",战狼2 短评,格拉比,https://www.douban.com/people/2403953/,很差,"
                    2017-07-28
                ",7667
" 说喜欢这部片子的人不是装傻就是真傻，要不是真的没有别的可看肯定是不会选这部的，直男癌到令人发指，所有剧情走向也完全是九十年代那套照搬，审美这件事儿真不是一时半会儿能培养出来的。
        ",战狼2 短评,CobraCB,https://www.douban.com/people/CobraCB/,较差,"
                    2017-07-28
                ",6783
